Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Access Type,Source,EID,calificacion
"Kujur F., Singh S.",57190021254;56175929200;,Social media as an enabler of marketing strategies,2016,International Journal of Economic Research,13,1,,373,381,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976568086&partnerID=40&md5=1d97e23257d3a8b8bf477ea807be5d19,"JRF, Department of Management Studies, Indian School of Mines, Dhanbad, India; Department of Management Studies, Indian School of Mines, Dhanbad, India","Kujur, F., JRF, Department of Management Studies, Indian School of Mines, Dhanbad, India; Singh, S., Department of Management Studies, Indian School of Mines, Dhanbad, India","Social media is now coming up as an effective tool for marketing. Even small business organizations are taking attempts to expand their business by reaching larger customer base. Today social media is vastly used by many businesses to promote their websites, products or services through online process. Social media marketing has changed the traditional form of marketing from one-to-one marketing to one-to-many marketing and many-to-many marketing. This interactive way of marketing has attracted the interests of large communities online. It connects service providers, companies and organizations with a broad audience of influencers and consumers. That is why for the success of a business, the social media presence on the web is very much essential for reaching out to consumers and establishing brand. The present study throws light on making better marketing strategies using social media and also gives information regarding various social media platforms and their uses by the business organizations. © Serials Publications.",Marketing Strategies; Social media marketing,,,,Serials Publications,9729380,,,,English,Int. J. Econ. Res.,Article,Final,,Scopus,2-s2.0-84976568086,2
Ogunshile E.K.A.,55845562500;,A big data analysis system for use in vehicular outdoor advertising,2016,CLOSER 2016 - Proceedings of the 6th International Conference on Cloud Computing and Services Science,2,,,319,328,,,10.5220/0005900303190328,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979561724&doi=10.5220%2f0005900303190328&partnerID=40&md5=b40fa64e69d527835cde7b42941fefe4,"Department of Computer Science, University of the West of England, Bristol, United Kingdom","Ogunshile, E.K.A., Department of Computer Science, University of the West of England, Bristol, United Kingdom","Outdoor advertising is an old industry and the only reliably growing advertising sector other than online advertising. However, for it to sustain this growth, media providers must supply a comparable means of tracking an advertisement's effectiveness to online advertising. The problem is a continual and emerging area of research for large outdoor advertising corporations, and as a result of this, smaller companies looking to join the market miss out on providing clients with valuable metrics due to a lack of resources. In this paper, we discuss the processes undertaken to develop software to be used as a means of better understanding the potential effectiveness of a fleet of private car, taxi or bus advertisements. Each of the steps present unique challenges including big data visualisation, performance data aggregation and the inherent inconsistencies and unreliabilities produced by tracking fleets using GPS. We cover how we increased the metric aggregation algorithm performance by roughly 20x, built an algorithm and process to render data heat maps on the server side and how we built an algorithm to clean unwanted GPS 'jitter'. Copyright © 2016 by SCITEPRESS - Science and Technology Publications, Lda. All rights reserved.",Big data analytics; GPS analysis; Javascript; Outdoor advertising; Query algorithm optimisation; Visual analytics,Big data; Cloud computing; Data Analytics; Data visualization; Fleet operations; Global positioning system; Taxicabs; Visualization; Advertising sector; Aggregation algorithms; Data analysis system; Javascript; Online advertising; Optimisations; Outdoor advertisings; Visual analytics; Marketing,"Ogunshile, E.K.A.; Department of Computer Science, University of the West of EnglandUnited Kingdom; email: emmanuel.ogunshile@uwe.ac.uk",Cardoso J.Cardoso J.Ferguson D.Munoz V.M.Helfert M.,SciTePress,,9.7899E+12,,,English,CLOSER - Proc. Int. Conf. Cloud Comput. Serv. Sci.,Conference Paper,Final,Open Access,Scopus,2-s2.0-84979561724,2
[No author name available],[No author id available],"15th IFIP WG 6.11 Conference on e-Business, e-Services, and e-Society, I3E 2016",2016,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),9844 LNCS,,,1,729,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985011710&partnerID=40&md5=8a41844b3bda62b53237d6dcecdf594d,,,"The proceedings contain 65 papers. The special focus in this conference is on Social Media Strategy, Digital Business, Digital Marketing, Customer Relationship Management, Adoption, Diffusion, Information Sharing on Social Media, Impression, Trust, Risk Management, Data Acquisition, Management and Analytics. The topics include: Social media strategies for companies; a comprehensive framework; enable, engage and evaluate; introducing the 3e social media strategy; towards achieving the manufacturing competitiveness goals; the power of instagram in building small businesses; a systematic review of extant literature in social media in the marketing perspective; the impact of social media on cause-related marketing campaigns; the impact of brand actions on facebook on the consumer mind-set; generating customer engagement and customer enragement on facebook pages of Tesco and Walmart; online stakeholder interaction of some airlines in the light of situational crisis communication theory; social media use among teenagers in Brunei Darussalam; impact of perceived connectivity on intention to use social media; a conceptual review of social media adoption in SMEs; social media usage of GSM operators in turkey; a content analysis of twitter use; developing a theoretical model to examine consumer acceptance behavior of mobile shopping; understanding the adoption of smart wearable devices to assist healthcare in china; a conceptual framework for system adoption and implementation; the value creation of social media information; persuasiveness of eWOM communications; consumer intentions on social media and towards process patterns for processing data having various qualities.",,,,Dwivedi Y.K.Clement M.Slade E.L.Rana N.P.Ravishankar M.N.Mantymaki M.Janssen M.Al-Sharhan S.Simintiras A.C.,Springer Verlag,3029743,9.78332E+12,,,English,Lect. Notes Comput. Sci.,Conference Review,Final,,Scopus,2-s2.0-84985011710,2
"Wu Y.-L., Chen P.-C.",57142941700;57191161723;,The synesthesia effects of online advertising stimulus design on word-of-mouth and purchase intention: From the perspective of consumer olfactory and gustatory,2016,AMCIS 2016: Surfing the IT Innovation Wave - 22nd Americas Conference on Information Systems,,,,,,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987623918&partnerID=40&md5=935b9bbc3c44d6c9961090b88826369f,"Department of Information Management, Tamkang University, Taiwan","Wu, Y.-L., Department of Information Management, Tamkang University, Taiwan; Chen, P.-C., Department of Information Management, Tamkang University, Taiwan","Multisensory marketing has been seen as an approach improving advertising effect in the social science, neuroscience, and marketing literature. For examining visual/audio synesthesia, the effect of smelling and tasting an online product, this study first developed design elements of digital video advertising: rational/emotional appeals and fast/slow tempo. Moreover, it strives to investigate empirically the effects of various online advertisement contexts on consumer emotion, attitude, and behavioral intention. We used event-related potentials (ERPs) in a scenario-based laboratory experiments. Data collected from 166 customers provide strong support for the research model. Through EEG and SEM analyses, in rational advertisings, consumers' olfactory was triggered and both arousal and pleasure of the emotions affected the attitudes; in emotional advertisings, not only olfactory but gustatory were triggered and only pleasure affected the attitudes. By understanding online advertising design and synesthesia, insights from the findings can benefit designers and marketers in implementing more effective marketing strategies.",Arousal; Attitude toward advertising; EEG; Online advertising effectiveness; Pleasure; Purchase intention; Synesthesia; Word-of mouth,Commerce; Computer graphics; Design; Electroencephalography; Information systems; Multimedia systems; Product design; Purchasing; Sales; Arousal; Online advertising; Pleasure; Purchase intention; Synesthesia; Word of mouth; Marketing,,,Association for Information Systems,,,,,English,AMCIS: Surfing IT Innov. Wave - Americas Conf. Inf. Syst.,Conference Paper,Final,,Scopus,2-s2.0-84987623918,2
Li H.,36802080600;,The multidimensional game towards online sellers,2015,"2015 International Conference on Logistics, Informatics and Service Science, LISS 2015",,,7369666,,,,,10.1109/LISS.2015.7369666,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971664006&doi=10.1109%2fLISS.2015.7369666&partnerID=40&md5=e9893ef34629a6c41091df485f95a5d0,"School of Management, Chongqing Key Laboratory of Electronic Commerce and Supply Chain System, Chongqing Technology and Business University, Chongqing, China","Li, H., School of Management, Chongqing Key Laboratory of Electronic Commerce and Supply Chain System, Chongqing Technology and Business University, Chongqing, China","In recent years, our e-commerce industry has gained great support from national and local government. So our e-commerce industry's development prospects will be broader. Under the e-commerce environment, the competition towards online sellers has become more and more diverse and dynamic than the traditional competition game model. The rapid development of e-commerce makes more and more companies begin to get involved in this area, the market competition has become much fiercer. The vast majority of sellers on e-commerce platform can be viewed as a small business organization, and those businesses who sell similar products is single point of competition and multi-point competition. The sales strategies and mutual games towards the sellers also become increasingly fierce. At present, the game theory are basically involved in the one-dimensional game, few scholars have presented and applied multidimensional game in products pricing strategy; and few scholars have studied a little about one-dimensional game under the e-commerce environment, which mainly focused on the supply and demand sides 'complete information game. The main contribution of this paper is to introduce multidimensional game to study the game towards multi-sellers under the e-commerce environment, and find the game mechanism towards online sellers, so as to provide references for the optimization of e-commerce environment. On the basis of the analysis of the e-commerce industry's development environment, we make a summary analysis of the competition and game studies which related to the online sellers. At the same time, we analyze the online sellers' strategy studies of opening online shops and marketing from home and abroad. Faced with the complex and variable market's demands, the games towards online sellers have become more flexible. From the multidimensional game theory, we set the game strategic conditions of online sellers who sell homogeneous products. In view of the e-commerce environment, how do those online sellers choose the advertising inputs, related transaction service inputs and commodities pricing strategies in order to maximize their profits, we establish a multi-seller's multidimensional game model under the e-commerce environment and solve the equilibrium condition. Then we make a primary analysis of the equilibrium results and find the existence of online sellers' optimal game strategy equilibrium under the e-commerce environment. This research has certain guidance significance for the optimization of the sellers' game and their competition behaviors under the e-commerce environment. © 2015 IEEE.",e-commerce; multidimensional game; online sellers,Commerce; Competition; Economics; Electronic commerce; Information science; Marketing; Sales; Competition behavior; Complete information; Development environment; Development prospects; Equilibrium conditions; Multidimensional game; Online sellers; Optimal game strategies; Game theory,"Li, H.; School of Management, Chongqing Key Laboratory of Electronic Commerce and Supply Chain System, Chongqing Technology and Business UniversityChina; email: lihongxia@ctbu.edu.cn",Zhang R.Fernandez V.Zhang Z.Liu S.,Institute of Electrical and Electronics Engineers Inc.,,9.78148E+12,,,English,"Int. Conf. Logist., Inf. Serv. Sci., LISS",Conference Paper,Final,,Scopus,2-s2.0-84971664006,2
"Petit O., Cheok A.D., Spence C., Velasco C., Karunanayaka K.T.",56985747800;7003447496;7102013693;57202808530;49961467800;,Sensory marketing in light of new technologies,2015,ACM International Conference Proceeding Series,16-19-November-2015,,53,,,,10,10.1145/2832932.2837006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979750795&doi=10.1145%2f2832932.2837006&partnerID=40&md5=e27545c55e75395d769c8ce080af7adc,"Imagineering Institute, Nusajaya, Malaysia; Oxford University, Oxford, United Kingdom","Petit, O., Imagineering Institute, Nusajaya, Malaysia; Cheok, A.D., Imagineering Institute, Nusajaya, Malaysia; Spence, C., Oxford University, Oxford, United Kingdom; Velasco, C., Imagineering Institute, Nusajaya, Malaysia; Karunanayaka, K.T., Imagineering Institute, Nusajaya, Malaysia","This workshop aims to increase awareness of the different ways in which new technologies (e.g. social media, virtual reality, digital, and neuroimaging technologies) can be used as input or means to develop multisensory experiences that improve consumer satisfaction. Consumers experience products and services via their senses (i.e. sight, hearing, smell, taste, touch). The specific multisensory content of those products and services can influence people's respective attitudes, purchase intentions, and consumption. Today, consumers experiment the world through new technologies, for example, by sharing their feelings via social media, or by creating avatar in a virtual world. The challenge for marketing consists of monitoring new technologies to better understand consumer sensory experiences and to develop innovative actions that will help to improve these experiences. We will begin with the definition of sensory marketing and the role of multisensory processes in consumer experience. Second, we will address the possibility of better understanding the consumer through social media and neuroimaging technologies. To finish, we will present some technologies that are already enriching sensory experiences of consumers.",Consumer neuroscience; Digital marketing; Digital technologies; Multisensory; Sensory marketing,Audition; Commerce; Interactive computer graphics; Neuroimaging; Social networking (online); Virtual reality; Consumer neuroscience; Digital marketing; Digital technologies; Multisensory; Sensory marketing; Marketing,,,Association for Computing Machinery,,9.78145E+12,,,English,ACM Int. Conf. Proc. Ser.,Conference Paper,Final,,Scopus,2-s2.0-84979750795,2
"Alford P., Page S.J.",56696934900;57193026967;,Marketing technology for adoption by small business,2015,Service Industries Journal,35,11-dic,,655,669,,15,10.1080/02642069.2015.1062884,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938421019&doi=10.1080%2f02642069.2015.1062884&partnerID=40&md5=8e3d0436768915d0d2cb1e5084380634,"Faculty of Management, Bournemouth University, Fern Barrow, Poole, BH12 5BB, United Kingdom","Alford, P., Faculty of Management, Bournemouth University, Fern Barrow, Poole, BH12 5BB, United Kingdom; Page, S.J., Faculty of Management, Bournemouth University, Fern Barrow, Poole, BH12 5BB, United Kingdom","The adoption of technology for marketing is essential for the survival of small businesses and yet little is understood about owner-manager practice in this area. This paper aims to address that gap through a qualitative study of 24 owner-managed small businesses operating in the visitor economy. It found that there was a strong appetite for the adoption of technology for marketing and a clear recognition of its opportunities particularly related to how it could create a stronger market orientation and more agile marketing, adhering to the principles of effectual reasoning. However, the ability to take advantage of these opportunities was constrained by a lack of knowledge and in particular an inability to measure the return on investment. While the wider implications of the study are limited by the niche sample, a planning model for the adoption of technology for marketing is presented which can be tested through future research. © 2015 Taylor & Francis.",digital marketing; effectuation; entrepreneurial marketing; market orientation; small businesses,entrepreneur; future prospect; industrial technology; market conditions; marketing; small and medium-sized enterprise; technology adoption,"Alford, P.; Faculty of Management, Bournemouth University, Fern Barrow, United Kingdom; email: palford@bournemouth.ac.uk",,Routledge,2642069,,,,English,Serv. Ind. J.,Article,Final,Open Access,Scopus,2-s2.0-84938421019,3
"Donnelly C., Simmons G., Armstrong G., Fearne A.",55312718300;35739266200;35551690000;57204405530;,Digital loyalty card ‘big data’ and small business marketing: Formal versus informal or complementary?,2015,International Small Business Journal: Researching Entrepreneurship,33,4,,422,442,,16,10.1177/0266242613502691,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930514342&doi=10.1177%2f0266242613502691&partnerID=40&md5=b780b3bd85c0620877ddf5e1e90d9fab,"National University of Ireland (Maynooth), Ireland; Queen’s University Belfast, United Kingdom; University of Ulster, United Kingdom; University of Kent, United Kingdom","Donnelly, C., National University of Ireland (Maynooth), Ireland; Simmons, G., Queen’s University Belfast, United Kingdom; Armstrong, G., University of Ulster, United Kingdom; Fearne, A., University of Kent, United Kingdom","This article proposes that a complementary relationship exists between the formalised nature of digital loyalty card data, and the informal nature of small business market orientation. A longitudinal, case-based research approach analysed this relationship in small firms given access to Tesco Clubcard data. The findings reveal a new-found structure and precision in small firm marketing planning from data exposure; this complemented rather than conflicted with an intuitive feel for markets. In addition, small firm owners were encouraged to include employees in marketing planning. © The Author(s) 2013",big data; digital marketing; market orientation; marketing strategy; small business marketing,,"Simmons, G.; Queen’s University Management School, Queen’s University Belfast, Riddel Hall, Stranmillis Road, United Kingdom; email: g.simmons@qub.ac.uk",,SAGE Publications Ltd,2662426,,,,English,Int. Small. Bus. J.,Article,Final,Open Access,Scopus,2-s2.0-84930514342,3
"Caniëls M.C., Lenaerts H.K., Gelderman C.J.",6506807289;57191245795;9273171100;,"Explaining the internet usage of smes: The impact of market orientation, behavioural norms, motivation and technology acceptance",2015,Internet Research,25,3,,358,377,,28,10.1108/IntR-12-2013-0266,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988269690&doi=10.1108%2fIntR-12-2013-0266&partnerID=40&md5=9a47c3147f4e6cff67a0433b4e61ee78,"Open University of the Netherlands, Heerlen, Netherlands","Caniëls, M.C., Open University of the Netherlands, Heerlen, Netherlands; Lenaerts, H.K., Open University of the Netherlands, Heerlen, Netherlands; Gelderman, C.J., Open University of the Netherlands, Heerlen, Netherlands","Purpose – Small to mid-sized enterprises (SMEs) are underrepresented in market orientation and internet-related research. Yet, marketing-related issues represent some of the most important problems for SMEs. The purpose of this paper is to explain why SMEs use the internet in business processes and to explore the relationship between market orientation and internet usage. Design/methodology/approach – The study amalgamates the technology acceptance model, the motivation model and the integrated model of technology acceptance into one model. Hypotheses are tested with survey data from Belgian SMEs using partial least squares. Findings – One of the findings is that intrinsic and extrinsic motivation are positively significantly related to internet usage intention. No significant relationships were found between behavioural norms and perceived ease of use and between perceived ease of use and the intention to use the internet. Practical implications – Managerial implications include that SME-internet training providers should focus on methods to increase the user’s perceived enjoyment (intrinsic motivation) instead of emphasizing the perceived ease of use of the internet. Originality/value – Researchers as well as practitioners have stressed the gains from implementing market-orientated strategies in firms. Together with the prominence of studies about patterns and characteristics of internet usage, this calls for studies that integrate these two streams of literature. The study shows in what way market orientation is related to the capability to use internet to a firm’s long term advantage. Up till now the relationship between market orientation and internet use has hardly received attention. © Emerald Group Publishing Limited.",Integrated model of technology acceptance; Internet usage; Market orientation; SMEs; Technology acceptance model; Web technology,,"Caniëls, M.C.; Open University of the NetherlandsNetherlands; email: marjolein.caniels@ou.nl",,Emerald Group Publishing Ltd.,10662243,,,,English,Internet Res.,Article,Final,,Scopus,2-s2.0-84988269690,3
Calia E.,8408244100;,Digital fabrication: Innovative manufacturing evolution [La fabbricazione digitale: Evoluzione innovativa della manifattura],2015,Mondo Digitale,14,56,,,,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926130743&partnerID=40&md5=64f570f6d1ca6babcc542b88eab5dc35,"Politecnico di Torino, ICT, Italy","Calia, E., Politecnico di Torino, ICT, Italy","The advantages of digitalization for enterprises have been known for a long time, mainly referring to the adoption of web based tools for marketing and e-commerce. In the past few years digitalization started to be extended also to production processes in large and small enterprises operating in the manufacturing and craft sectors. Helped bottom up by the makers movement and the opening of FabLabs all over the world, this phenomenon represents a great opportunity for small enterprises willing to acquire competitiveness and for the digital native young generations who can play a lead role in this context.",,Manufacture; Social networking (online); Bottom up; Digital fabrication; Digital natives; Innovative manufacturing; Production process; Small enterprise; Web-based tools; Competition,"Calia, E.; Politecnico di Torino, ICTItaly; email: edoardo.calia@ismb.it",,Associazione Italiana per l'Informatica e il Calcolo Automatico,1720898X,,,,English; Italian,Mondo Digitale,Article,Final,,Scopus,2-s2.0-84926130743,1
"Bilkova R., Zelenka Z.",16030259100;57190010676;,Social network marketing: An examination of marketing behavior of small businesses,2015,"Proceedings of the 26th International Business Information Management Association Conference - Innovation Management and Sustainable Economic Competitive Advantage: From Regional Development to Global Growth, IBIMA 2015",,,,2171,2180,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976438528&partnerID=40&md5=ef2a2e77d065bf80bb79ea0c25e6453e,"Department of System Engineering and Informatics, University of Pardubice, Pardubice, Czech Republic","Bilkova, R., Department of System Engineering and Informatics, University of Pardubice, Pardubice, Czech Republic; Zelenka, Z., Department of System Engineering and Informatics, University of Pardubice, Pardubice, Czech Republic","Nowadays social networks are a worldwide phenomenon. With the coming of new technologies and mediators of sale, marketing is changed and shaped so as to make it possible to reach more prospective customers. Businesses had to adapt to this digital age and to reassess their marketing strategies. It was necessary to transfer their experiences and practices into a new modern form. The advantage of the Internet is a global presence which is without any fees, unlike the marketing in other media. On the Internet you can use multiple media to attract users. Internet advertising is still the cheapest way and thanks to social networks businesses can create their ad for free. The use of social networking as a marketing tool still dominates in large corporations, but also smaller companies are already starting to take advantage of social networks. The aim of the work is focused on area of social networks from the perspective of users who are creators of the content on these networks. The research proves the benefits of usage of social networks for smaller companies not only for the promotion their own websites. In order to obtain the information about the behaviour of potential customer in Vysočina region, we used a survey and collected data from 128 respondents who have taken part in social networking. The second part of the research analyses the place and the efficiency of social media, especially Facebook, in selected small company marketing practices. Results indicate that social networks can enable businesses to increase prospective clients and also offer current consumers a closer relationship to the company, but should be taken only as one of the possible marketing tool.",Facebook; Internet marketing; Small and medium enterprises; Social networks,Commerce; Competition; Information management; Innovation; Internet; Marketing; Regional planning; Surveys; Facebook; Internet advertising; Internet marketing; Marketing strategy; Potential customers; Prospective customers; Research analysis; Small and medium enterprise; Social networking (online),,Soliman K.S.,"International Business Information Management Association, IBIMA",,9.78099E+12,,,English,"Proc. Int. Bus. Inf. Manag. Assoc. Conf. - Innov. Manag. Sustain. Econ. Compet. Advant.: From Reg. Dev. Glob. Growth, IBIMA",Conference Paper,Final,,Scopus,2-s2.0-84976438528,3
Rzemieniak M.,52864550900;,Measuring the Effectiveness of Online Advertising Campaigns inthe Aspect of e-entrepreneurship,2015,Procedia Computer Science,65,,,980,987,,6,10.1016/j.procs.2015.09.063,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953261654&doi=10.1016%2fj.procs.2015.09.063&partnerID=40&md5=1d5a36da55eed1999e2d367fefd6e32c,"Lublin University of Technology, ul. Nadbystrzycka 38, Lublin, 20-618, Poland","Rzemieniak, M., Lublin University of Technology, ul. Nadbystrzycka 38, Lublin, 20-618, Poland","A fast and problem-free access to information is a very special good in the contemporary entrepreneurship. Over a span of recent years the internet has become one of the main marketing communication channels and online advertising is permanently present in advertising campaigns of both large and small companies. The main goal of the article is to present the model forms of effectiveness of online advertising and analyse the online advertising effectiveness. It has been assumed that the greater effectiveness of online advertising contributes to improving the entrepreneurship among entities that use it. The article contains hypothesis that online advertising is the effective form of advertising. The hypothesis has been verified on the basis of desk research, as well as exploratory and experimental research. © 2015 The Authors.",advertising campaigns; effectiveness; online advertising,Computers; Advertising campaign; effectiveness; Experimental research; Free access; Marketing communications; Online advertising; Small companies; Marketing,"Rzemieniak, M.; Lublin University of Technology, ul. Nadbystrzycka 38, Poland; email: m.rzemieniak@pollub.pl",de Alencar M.S.Theodotou E.Theodotou E.Snasel V.Saleh Y.Salem A.-B.Valanderau L.Jelonek D.Kumar S.,Elsevier,18770509,,,,English,Procedia Comput. Sci.,Conference Paper,Final,Open Access,Scopus,2-s2.0-84953261654,2
"Van Huyssteen N., Strydom J.W., Rudansky-Kloppers S.",57192439720;26032394100;55623332600;,"Online marketing communication tools used by guest houses in Pretoria, South Africa",2015,"African Journal of Science, Technology, Innovation and Development",7,4,,313,322,,3,10.1080/20421338.2015.1082371,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006379958&doi=10.1080%2f20421338.2015.1082371&partnerID=40&md5=28e99681a08a66f39aee4228a10df919,"Department of Business Management, University of South Africa, Pretoria, South Africa","Van Huyssteen, N., Department of Business Management, University of South Africa, Pretoria, South Africa; Strydom, J.W., Department of Business Management, University of South Africa, Pretoria, South Africa; Rudansky-Kloppers, S., Department of Business Management, University of South Africa, Pretoria, South Africa","The purpose of the research was to determine which online marketing communication tools are available and are most frequently used by guest houses in Pretoria. There are a large number of guest houses operating in South Africa and the hospitality industry is information intensive. Innovative marketing communication becomes a necessity to survive and grow in an uncertain business climate. A quantitative research method was followed. Primary data were collected by means of a survey approach during personal interviews with the guest house owners/managers. Specific corpographic details of guest houses and the most frequently used online marketing communication tools were canvassed. The four most frequently used online marketing communication tools are guest house websites, branded e-mail, search engine optimisation and social networking. The findings suggest that guest houses have to invest more time and money in implementing specific online marketing communication tools, such as social networking and the use of search engine optimisation. The results confirmed the importance of electronic tools in an organisation’s marketing strategy, specifically for small businesses such as guest houses. This research can assist guest house owners and managers in their decision-making on the use of online marketing communication tools as part of their marketing strategy. © 2015 African Journal of Science, Technology, Innovation and Development.",Electronic tools; Hospitality; Internet; Small businesses,,"Van Huyssteen, N.; Department of Business Management, University of South AfricaSouth Africa; email: marxn@unisa.ac.za",,Taylor and Francis Ltd.,20421338,,,,English,Afr. J. Sci. Technol. Innov. Dev.,Article,Final,,Scopus,2-s2.0-85006379958,3
"Rzemieniak M., Iannuli F.",52864550900;57039086200;,The effectiveness of online advertising of companies in poland [Skuteczność reklamy online firm w Polsce],2015,Polish Journal of Management Studies,12,2,,130,138,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953302350&partnerID=40&md5=c59ffb1ed9f63c7527346da1d20fb357,"Lublin University of Technology, Poland; Neophane Spa, Italy","Rzemieniak, M., Lublin University of Technology, Poland; Iannuli, F., Neophane Spa, Italy","Over a span of the recent years the internet has become one of the main channels of marketing communication. Online advertising is ever-present in advertising campaigns of both large and small companies. The main goal of this article is to present the results of assessment of online advertising effectiveness in small and medium-sized companies that operate on the Polish ad Italian market. The results may be useful for foreign enterprises for the comparison or implementation. The main goal was achieved through the exploratory research and analysis of the following research problems: assessment of the effectiveness of settlement models of online advertising campaigns, assessment of the selection of tools for measuring the effectiveness of online advertising campaigns, analysing factors affecting the effectiveness of graphic advertising and the assessment of the effectiveness of online advertising. © 2015, Czestochowa University of Technology. All rights Reserved.",Effectiveness; Online advertising,,"Rzemieniak, M.; Lublin University of TechnologyPoland; email: m.rzemieniak@pollub.pl",,Czestochowa University of Technology,20817452,,,,English,Pol. J. Manag. Stud.,Article,Final,,Scopus,2-s2.0-84953302350,2
"Rossignoli C., Ricciardi F.",25645376500;36606734100;,The Yoox group case,2015,Contributions to Management Science,,,,119,143,,,10.1007/978-3-319-11221-3_7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064897983&doi=10.1007%2f978-3-319-11221-3_7&partnerID=40&md5=41da57d2a82fd64e00e94d0e5b3f24d9,"Department of Business Administration, University of Verona, Verona, Italy","Rossignoli, C., Department of Business Administration, University of Verona, Verona, Italy; Ricciardi, F., Department of Business Administration, University of Verona, Verona, Italy","This chapter illustrates a case study that shows how the new internet-based information technologies can quickly make traditional business models a thing of the past, giving rise to new business models in which the consumer influences the organizational relations of the companies in the value chain. In fact, the advent of online and mobile technology has levelled the playing field for the smaller businesses, enabling them to leap the traditional barriers to achieve the economies-of-scale usually the sole domain of larger companies. Further, the pervasiveness of ICT has not just changed communication and purchasing processes, but also has led many businesses, particularly the retailers, to redesign their competitive strategies. One such player is Yoox, an e-commerce intermediary that serves the designer fashion market in 100 countries from a position of leadership. This chapter retraces the historical journey of Yoox Group and conducts an in-depth analysis of its business model. The discussion shows that Yoox Group can be defined as an “e-commerce intermediary” from the organizational perspective and that “e-intermediation” can be a form of extra and inter-organizational support for e-commerce processes. E-commerce processes are highly complex because they imply the fashion producers’ externalization of the entire internet marketing and sales process, from the outsourcing of Web marketing activities and price-setting to billing and logistics. Hence, we will investigate Yoox’s role as its own network’s market maker and mediator and its business network governance mechanisms. The chapter concludes by demonstrating that not one of the theories on inter-organizational relations outlined in Chaps. 2, 3 and 4 can, in isolation, frame the success achieved by Yoox. © Springer International Publishing Switzerland 2015.",Chief executive officer; Electronic market; Electronic mediator; Market maker; Online store,,"Rossignoli, C.; Department of Business Administration, University of VeronaItaly",,Springer,14311941,,,,English,Contrib. Manag. Sci.,Book Chapter,Final,,Scopus,2-s2.0-85064897983,2
"Halim E., Hartono H.",56008024200;56236903300;,Online marketing channel in selling franchise business in Indonesia,2015,Advanced Science Letters,21,4,,592,595,,,10.1166/asl.2015.5905,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940952502&doi=10.1166%2fasl.2015.5905&partnerID=40&md5=a5df1835617a6d380c77ad8c44dcfb8d,"School of Business Management, Universitas Bina Nusantara11480, Indonesia","Halim, E., School of Business Management, Universitas Bina Nusantara11480, Indonesia; Hartono, H., School of Business Management, Universitas Bina Nusantara11480, Indonesia","In Indonesia, as well as in the United States, franchise system is used as business expansion strategy for Small Medium Enterprises. In the year 2012, there are 1.700 franchise-format companies. It means that the franchise format business has significant impact to Indonesia economic. Recently, franchisors are looking the appropriate marketing channels in order to increase their number of outlets. This paper data based on a survey in Jakarta on a 3-days December 2013 Franchise and Business Opportunities Expo with 82 respondents of franchise exhibition visitors (prospective franchisees) and 27 franchise exhibitors (franchisors). Half of this exhibition was followed by some franchisors and the others exhibitors sold products non-business opportunity. By using t-test and qualitative comparison, will be compared the answer from franchisors and franchisees. The objective of this paper is to see the ways of online marketing channel offer by franchisors are absorbed or not by prospective franchisees or investors. © 2015 American Scientific Publishers. All rights reserved.",Franchise; Indonesia; Marketing channel; Online marketing,,"Halim, E.; School of Business Management, Universitas Bina NusantaraIndonesia",,American Scientific Publishers,19366612,,,,English,Adv. Sci. Lett.,Article,Final,,Scopus,2-s2.0-84940952502,2
