Authors,Authors_ID,Title,Year,Source_title,Global_Citations,Affiliations,Abstract,Author_Keywords,Index_Keywords,Abb_Source_Title,Document_Type,calificacion,ID,Num_Authors,Frac_Num_Documents,Countries,Country_1st_Author,Abstract_Keywords,Abstract_Author_Keywords,Abstract_Index_Keywords,Bradford_Law_Zone,Institutions,Institution_1st_Author,Author_Keywords_CL,Index_Keywords_CL,Keywords,Keywords_CL,Abstract_Author_Keywords_CL,Abstract_Index_Keywords_CL,Abstract_Keywords_CL
Alford P;Page SJ,56696934900;57193026967,Marketing technology for adoption by small business,2015,Service Industries Journal,15.0,"Faculty of Management, Bournemouth University, Fern Barrow, Poole, BH12 5BB, United Kingdom","the adoption of technology for marketing is essential for the survival of small businesses and yet little is understood about owner-manager practice in this area. this paper aims to address that gap through a qualitative study of 24 owner-managed small businesses operating in the visitor economy. it found that there was a strong appetite for the adoption of technology for marketing and a clear recognition of its opportunities particularly related to how it could create a stronger market orientation and more agile marketing, adhering to the principles of effectual reasoning. however, the ability to take advantage of these opportunities was constrained by a lack of knowledge and in particular an inability to measure the return on investment. while the wider implications of the study are limited by the niche sample, a planning model for the adoption of technology for marketing is presented which can be tested through future research. ",digital marketing;effectuation;entrepreneurial marketing;market orientation;small businesses,entrepreneur;future prospect;industrial technology;market conditions;marketing;small and medium-sized enterprise;technology adoption,Serv Ind J,Article,3,156,2,0.5,united kingdom,united kingdom,adoption;agile marketing;investment;market orientation;marketing;marketing is;opportunities;planning;qualitative study;research;small businesses,adoption;agile marketing;investment;market orientation;marketing;opportunities;small businesses,adoption;marketing;marketing is;planning;qualitative study;research,3.0,Bournemouth University GBR,Bournemouth University GBR,digital marketing;effectuation;entrepreneurial marketing;market orientation;small business,entrepreneur;future prospect;industrial technology;market conditions;market;small and medium-sized enterprises (smes);technology adoption,digital marketing;effectuation;entrepreneur;entrepreneurial marketing;future prospect;industrial technology;market conditions;market orientation;marketing;small and medium-sized enterprise;small businesses;technology adoption,digital marketing;effectuation;entrepreneur;entrepreneurial marketing;future prospect;industrial technology;market;market conditions;market orientation;small and medium-sized enterprises (smes);small business;technology adoption,adoption;agile marketing;investment;market orientation;market;opportunities;small business,adoption;market;marketing is;planning;qualitative study;research,adoption;agile marketing;investment;market orientation;market;marketing is;opportunities;planning;qualitative study;research;small business
Donnelly C;Simmons G;Armstrong G;Fearne A,55312718300;35739266200;35551690000;57204405530,Digital loyalty card ‘big data’ and small business marketing: Formal versus informal or complementary?,2015,International Small Business Journal: Researching Entrepreneurship,16.0,"National University of Ireland (Maynooth), Ireland; Queen’s University Belfast, United Kingdom; University of Ulster, United Kingdom; University of Kent, United Kingdom","this article proposes that a complementary relationship exists between the formalized nature of digital loyalty card data, and the informal nature of small business market orientation. a longitudinal, case-based research approach analyzed this relationship in small firms given access to tesco clubcard data. the findings reveal a new-found structure and precision in small firm marketing planning from data exposure; this complemented rather than conflicted with an intuitive feel for markets. in addition, small firm owners were encouraged to include employees in marketing planning. ",big data;digital marketing;market orientation;marketing strategy;small business marketing,,Int Small Bus J,Article,3,157,4,0.25,ireland;united kingdom,ireland,article;digital;loyalty;market orientation;marketing;planning;research;small;small business;small firms,digital;loyalty;market orientation;marketing;small;small business;small firms,article;marketing;planning;research;small;small business,3.0,National University of Ireland IRL;Queens University Belfast GBR;University of Ulster GBR;University of Kent GBR,National University of Ireland IRL,big data;digital marketing;market orientation;marketing strategies;small business marketing,,big data;digital marketing;market orientation;marketing strategy;small business marketing,big data;digital marketing;market orientation;marketing strategies;small business marketing,digital;loyalty;market orientation;market;small;small business;small firms,article;market;planning;research;small;small business,article;digital;loyalty;market orientation;market;planning;research;small;small business;small firms
Caniels MC;Lenaerts HK;Gelderman CJ,6506807289;57191245795;9273171100,"Explaining the internet usage of smes: The impact of market orientation, behavioral norms, motivation and technology acceptance",2015,Internet Research,28.0,"Open University of the Netherlands, Heerlen, Netherlands","purpose - small to mid-sized enterprises (smes) are underrepresented in market orientation and internet-related research. yet, marketing-related issues represent some of the most important problems for smes. the purpose of this paper is to explain why smes use the internet in business processes and to explore the relationship between market orientation and internet usage. design/methodology/approach - the study amalgamates the technology acceptance model, the motivation model and the integrated model of technology acceptance into one model. hypotheses are tested with survey data from belgian smes using partial least squares. findings - one of the findings is that intrinsic and extrinsic motivation are positively significantly related to internet usage intention. no significant relationships were found between behavioral norms and perceived ease of use and between perceived ease of use and the intention to use the internet. practical implications - managerial implications include that sme-internet training providers should focus on methods to increase the user’s perceived enjoyment (intrinsic motivation) instead of emphasizing the perceived ease of use of the internet. originality/value - researchers as well as practitioners have stressed the gains from implementing market-orientated strategies in firms. together with the prominence of studies about patterns and characteristics of internet usage, this calls for studies that integrate these two streams of literature. the study shows in what way market orientation is related to the capability to use internet to a firm’s long term advantage. up till now the relationship between market orientation and internet use has hardly received attention. ",integrated model of technology acceptance;internet usage;market orientation;smes;technology acceptance model;web technology,,Internet Res,Article,3,158,3,0.3333333333333333,netherlands,netherlands,attention;business;enterprises;integrated model of technology acceptance;intention to use;internet;internet usage;managerial implications;market orientation;motivation;problems;research;small;smes;survey;technology acceptance model;the internet;training,business;enterprises;integrated model of technology acceptance;intention to use;internet;internet usage;market orientation;motivation;problems;small;smes;survey;technology acceptance model;the internet;training,attention;business;internet;internet usage;managerial implications;motivation;research;small;smes;technology acceptance model,2.0,Open University of The Netherlands NLD,Open University of The Netherlands NLD,integrated model of technology acceptance;internet usage;market orientation;sme;technology acceptance model;web technology,,integrated model of technology acceptance;internet usage;market orientation;smes;technology acceptance model;web technology,integrated model of technology acceptance;internet usage;market orientation;sme;technology acceptance model;web technology,business;enterprises;integrated model of technology acceptance;intention to use;internet;internet usage;market orientation;motivation;problems;small;sme;survey;technology acceptance model;the internet;training,attention;business;internet;internet usage;managerial implications;motivation;research;small;sme;technology acceptance model,attention;business;enterprises;integrated model of technology acceptance;intention to use;internet;internet usage;managerial implications;market orientation;motivation;problems;research;small;sme;survey;technology acceptance model;the internet;training
Calia E,8408244100,Digital fabrication: Innovative manufacturing evolution ,2015,Mondo Digitale,1.0,"Politecnico di Torino, ICT, Italy","the advantages of digitalization for enterprises have been known for a long time, mainly referring to the adoption of web based tools for marketing and e-commerce. in the past few years digitalization started to be extended also to production processes in large and small enterprises operating in the manufacturing and craft sectors. helped bottom up by the makers movement and the opening of fablabs all over the world, this phenomenon represents a great opportunity for small enterprises willing to acquire competitiveness and for the digital native young generations who can play a lead role in this context",,bottom up;competition;digital fabrication;digital natives;innovative manufacturing;manufacture;production process;small enterprise;social networking (online);web-based tools,Mondo Digitale,Article,1,159,1,1.0,italy,italy,adoption;bottom up;competitiveness;digital;digitalization;e-commerce;enterprises;marketing;small enterprises;time;tools,adoption;competitiveness;digital;digitalization;e-commerce;enterprises;marketing;small enterprises;tools,adoption;bottom up;e-commerce;marketing;time,3.0,Politecnico Di Torino ITA,Politecnico Di Torino ITA,,bottom up;competition;digital fabrication;digital natives;innovative manufacturing;manufacture;processed products;small enterprise;social network;web-based tools,bottom up;competition;digital fabrication;digital natives;innovative manufacturing;manufacture;production process;small enterprise;social networking (online);web-based tools,bottom up;competition;digital fabrication;digital natives;innovative manufacturing;manufacture;processed products;small enterprise;social network;web-based tools,adoption;competition;digital;digital;e-commerce;enterprises;market;small enterprise;tools,adoption;bottom up;e-commerce;market;time,adoption;bottom up;competition;digital;digital;e-commerce;enterprises;market;small enterprise;time;tools
Bilkova R;Zelenka Z,16030259100;57190010676,Social network marketing: An examination of marketing behavior of small businesses,2015,"Proceedings of the 26th International Business Information Management Association Conference - Innovation Management and Sustainable Economic Competitive Advantage: From Regional Development to Global Growth, IBIMA 2015",0.0,"Department of System Engineering and Informatics, University of Pardubice, Pardubice, Czech Republic","nowadays social networks are a worldwide phenomenon. with the coming of new technologies and mediators of sale, marketing is changed and shaped so as to make it possible to reach more prospective customers. businesses had to adapt to this digital age and to reassess their marketing strategies. it was necessary to transfer their experiences and practices into a new modern form. the advantage of the internet is a global presence which is without any fees, unlike the marketing in other media. on the internet you can use multiple media to attract users. internet advertising is still the cheapest way and thanks to social networks businesses can create their ad for free. the use of social networking as a marketing tool still dominates in large corporations, but also smaller companies are already starting to take advantage of social networks. the aim of the work is focused on area of social networks from the perspective of users who are creators of the content on these networks. the research proves the benefits of usage of social networks for smaller companies not only for the promotion their own websites. in order to obtain the information about the behavior of potential customer in vysocina region, we used a survey and collected data from 128 respondents who have taken part in social networking. the second part of the research analyzes the place and the efficiency of social media, especially facebook, in selected small company marketing practices. results indicate that social networks can enable businesses to increase prospective clients and also offer current consumers a closer relationship to the company, but should be taken only as one of the possible marketing tool",facebook;internet marketing;small and medium enterprises;social networks,commerce;competition;facebook;information management;innovation;internet;internet advertising;internet marketing;marketing;marketing strategy;potential customers;prospective customers;regional planning;research analysis;small and medium enterprise;social networking (online);surveys,"Proc Int Bus Inf Manag Assoc Conf - Innov Manag Sustain Econ Compet Advant: From Reg Dev Glob Growth, IBIMA",Conference Paper,3,160,2,0.5,czechia,czechia,behavior;benefits;consumers;customer;digital;efficiency;facebook;information;internet advertising;marketing;marketing is;marketing practices;marketing strategies;media;promotion;prospective customers;research;small;social media;social networking;social networks;survey;the internet;websites,behavior;benefits;consumers;customer;digital;facebook;information;internet advertising;marketing;marketing practices;marketing strategies;media;promotion;small;social media;social networking;social networks;survey;the internet;websites,behavior;benefits;efficiency;facebook;internet advertising;marketing;marketing is;marketing strategies;prospective customers;research;small;social media;social networks;websites,3.0,University of Pardubice CZE,University of Pardubice CZE,facebook;internet marketing;small and medium enterprise;social network,commerce;competition;facebook;information management;innovation;internet;internet advertising;internet marketing;market;marketing strategies;potential customers;prospective customers;regional planning;research analysis;small and medium enterprise;social network;survey,commerce;competition;facebook;information management;innovation;internet;internet advertising;internet marketing;marketing;marketing strategy;potential customers;prospective customers;regional planning;research analysis;small and medium enterprise;small and medium enterprises;social networking (online);social networks;surveys,commerce;competition;facebook;information management;innovation;internet;internet advertising;internet marketing;market;marketing strategies;potential customers;prospective customers;regional planning;research analysis;small and medium enterprise;social network;survey,behavior;benefits;consumer;customer;digital;facebook;information;internet advertising;market;marketing practices;marketing strategies;media;promotion;small;social media;social network;social network;survey;the internet;website,behavior;benefits;efficiency;facebook;internet advertising;market;marketing is;marketing strategies;prospective customers;research;small;social media;social network;website,behavior;benefits;consumer;customer;digital;efficiency;facebook;information;internet advertising;market;marketing is;marketing practices;marketing strategies;media;promotion;prospective customers;research;small;social media;social network;social network;survey;the internet;website
Rzemieniak M,52864550900,Measuring the Effectiveness of Online Advertising Campaigns inthe Aspect of e-entrepreneurship,2015,Procedia Computer Science,6.0,"Lublin University of Technology, ul. Nadbystrzycka 38, Lublin, 20-618, Poland","a fast and problem-free access to information is a very special good in the contemporary entrepreneurship. over a span of recent years the internet has become one of the main marketing communication channels and online advertising is permanently present in advertising campaigns of both large and small companies. the main goal of the article is to present the model forms of effectiveness of online advertising and analyze the online advertising effectiveness. it has been assumed that the greater effectiveness of online advertising contributes to improving the entrepreneurship among entities that use it. the article contains hypothesis that online advertising is the effective form of advertising. the hypothesis has been verified on the basis of desk research, as well as exploratory and experimental research. ",advertising campaigns;effectiveness;online advertising,advertising campaign;computers;effectiveness;experimental research;free access;marketing;marketing communications;online advertising;small companies,Procedia Comput Sci,Conference Paper,2,161,1,1.0,poland,poland,advertising;advertising campaigns;article;channels;effectiveness;entrepreneurship;experimental research;information;marketing communication;online advertising;online advertising effectiveness;research;small companies;the internet,advertising;advertising campaigns;channels;effectiveness;entrepreneurship;information;marketing communication;online advertising;online advertising effectiveness;the internet,advertising;article;effectiveness;experimental research;online advertising;research;small companies,2.0,University of Technology POL,University of Technology POL,advertising campaign;effectiveness;online advertisements,advertising campaign;computers;effectiveness;experimental research;free access;market;communication marketing;online advertisements;small companies,advertising campaign;advertising campaigns;computers;effectiveness;experimental research;free access;marketing;marketing communications;online advertising;small companies,advertising campaign;communication marketing;computers;effectiveness;experimental research;free access;market;online advertisements;small companies,advertisement;advertising campaign;channels;effectiveness;entrepreneurship;information;communication marketing;online advertisements;online advertising effectiveness;the internet,advertisement;article;effectiveness;experimental research;online advertisements;research;small companies,advertisement;advertising campaign;article;channels;effectiveness;entrepreneurship;experimental research;information;communication marketing;online advertisements;online advertising effectiveness;research;small companies;the internet
Van Huyssteen N;Strydom JW;Rudansky-Kloppers S,57192439720;26032394100;55623332600,"Online marketing communication tools used by guest houses in Pretoria, South Africa",2015,"African Journal of Science, Technology, Innovation and Development",3.0,"Department of Business Management, University of South Africa, Pretoria, South Africa","the purpose of the research was to determine which online marketing communication tools are available and are most frequently used by guest houses in pretoria. there are a large number of guest houses operating in south africa and the hospitality industry is information intensive. innovative marketing communication becomes a necessity to survive and grow in an uncertain business climate. a quantitative research method was followed. primary data were collected by means of a survey approach during personal interviews with the guest house owners/managers. specific corpographic details of guest houses and the most frequently used online marketing communication tools were canvassed. the four most frequently used online marketing communication tools are guest house websites, branded e-mail, search engine optimisation and social networking. the findings suggest that guest houses have to invest more time and money in implementing specific online marketing communication tools, such as social networking and the use of search engine optimisation. the results confirmed the importance of electronic tools in an organization’s marketing strategy, specifically for small businesses such as guest houses. this research can assist guest house owners and managers in their decision-making on the use of online marketing communication tools as part of their marketing strategy. ",electronic tools;hospitality;internet;small businesses,,Afr J Sci Technol Innov Dev,Article,3,162,3,0.3333333333333333,south africa,south africa,business;electronic tools;hospitality;industry;information;managers;marketing communication;marketing strategy;organization;research;research method;search engine;small businesses;social networking;south africa;survey;time;tools;websites,business;electronic tools;hospitality;information;marketing communication;marketing strategy;search engine;small businesses;social networking;south africa;survey;tools;websites,business;industry;managers;marketing strategy;organization;research;research method;time;websites,2.0,University of South Africa ZAF,University of South Africa ZAF,electronic tools;hospitality;internet;small business,,electronic tools;hospitality;internet;small businesses,electronic tools;hospitality;internet;small business,business;electronic tools;hospitality;information;communication marketing;marketing strategies;search engine;small business;social network;south africa;survey;tools;website,business;industry;management;marketing strategies;organization;research;research method;time;website,business;electronic tools;hospitality;industry;information;management;communication marketing;marketing strategies;organization;research;research method;search engine;small business;social network;south africa;survey;time;tools;website
Rzemieniak M;Iannuli F,52864550900;57039086200,The effectiveness of online advertising of companies in poland ,2015,Polish Journal of Management Studies,1.0,"Lublin University of Technology, Poland; Neophane Spa, Italy","over a span of the recent years the internet has become one of the main channels of marketing communication. online advertising is ever-present in advertising campaigns of both large and small companies. the main goal of this article is to present the results of assessment of online advertising effectiveness in small and medium-sized companies that operate on the polish ad italian market. the results may be useful for foreign enterprises for the comparison or implementation. the main goal was achieved through the exploratory research and analysis of the following research problems: assessment of the effectiveness of settlement models of online advertising campaigns, assessment of the selection of tools for measuring the effectiveness of online advertising campaigns, analyzing factors affecting the effectiveness of graphic advertising and the assessment of the effectiveness of online advertising. ",effectiveness;online advertising,,Pol J Manag Stud,Article,2,163,2,0.5,poland;italy,poland,advertising;advertising campaigns;article;channels;effectiveness;enterprises;exploratory research;factors;market;marketing communication;online advertising;online advertising effectiveness;research problems;small and medium-sized companies;small companies;the internet;tools,advertising;advertising campaigns;channels;effectiveness;enterprises;factors;market;marketing communication;online advertising;online advertising effectiveness;small and medium-sized companies;the internet;tools,advertising;article;effectiveness;exploratory research;factors;online advertising;research problems;small and medium-sized companies;small companies,3.0,University of Technology POL,University of Technology POL,effectiveness;online advertisements,,effectiveness;online advertising,effectiveness;online advertisements,advertisement;advertising campaign;channels;effectiveness;enterprises;factorization;market;communication marketing;online advertisements;online advertising effectiveness;small and medium-sized companies;the internet;tools,advertisement;article;effectiveness;exploratory research;factorization;online advertisements;research problems;small and medium-sized companies;small companies,advertisement;advertising campaign;article;channels;effectiveness;enterprises;exploratory research;factorization;market;communication marketing;online advertisements;online advertising effectiveness;research problems;small and medium-sized companies;small companies;the internet;tools
Rossignoli C;Ricciardi F,25645376500;36606734100,The Yoox group case,2015,Contributions to Management Science,0.0,"Department of Business Administration, University of Verona, Verona, Italy","this chapter illustrates a case study that shows how the new internet-based information technologies can quickly make traditional business models a thing of the past, giving rise to new business models in which the consumer influences the organizational relations of the companies in the value chain. in fact, the advent of online and mobile technology has leveled the playing field for the smaller businesses, enabling them to leap the traditional barriers to achieve the economies-of-scale usually the sole domain of larger companies. further, the pervasiveness of ict has not just changed communication and purchasing processes, but also has led many businesses, particularly the retailers, to redesign their competitive strategies. one such player is yoox, an e-commerce intermediary that serves the designer fashion market in 100 countries from a position of leadership. this chapter retraces the historical journey of yoox group and conducts an in-depth analysis of its business model. the discussion shows that yoox group can be defined as an “e-commerce intermediary” from the organizational perspective and that “e-intermediation” can be a form of extra and inter-organizational support for e-commerce processes. e-commerce processes are highly complex because they imply the fashion producers’ externalization of the entire internet marketing and sales process, from the outsourcing of web marketing activities and price-setting to billing and logistics. hence, we will investigate yoox’s role as its own network’s market maker and mediator and its business network governance mechanisms. the chapter concludes by demonstrating that not one of the theories on inter-organizational relations outlined in chaps. 2, 3 and 4 can, in isolation, frame the success achieved by yoox. ",chief executive officer;electronic market;electronic mediator;market maker;online store,,Contrib Manag Sci,Book Chapter,2,164,2,0.5,italy,italy,business;business model;business models;case study;communication;consumer;e-commerce;fashion;ict;information;internet marketing;market;market maker;mobile;online;outsourcing;purchasing;sales,business;business model;case study;communication;e-commerce;fashion;ict;information;internet marketing;market;market maker;mobile;online;outsourcing,business;business models;communication;consumer;e-commerce;internet marketing;online;outsourcing;purchasing;sales,3.0,University of Verona ITA,University of Verona ITA,chief executive officer;electronic market;electronic mediator;market maker;online store,,chief executive officer;electronic market;electronic mediator;market maker;online store,chief executive officer;electronic market;electronic mediator;market maker;online store,business;business model;case study;communication;e-commerce;fashion;ict;information;internet marketing;market;market maker;mobile;online;outsourcing,business;business model;communication;consumer;e-commerce;internet marketing;online;outsourcing;purchasing;sales,business;business model;business model;case study;communication;consumer;e-commerce;fashion;ict;information;internet marketing;market;market maker;mobile;online;outsourcing;purchasing;sales
Halim E;Hartono H,56008024200;56236903300,Online marketing channel in selling franchise business in Indonesia,2015,Advanced Science Letters,0.0,"School of Business Management, Universitas Bina Nusantara11480, Indonesia","in indonesia, as well as in the united states, franchise system is used as business expansion strategy for small medium enterprises. in the year 2012, there are 1.700 franchise-format companies. it means that the franchise format business has significant impact to indonesia economic. recently, franchisors are looking the appropriate marketing channels in order to increase their number of outlets. this paper data based on a survey in jakarta on a 3-days december 2013 franchise and business opportunities expo with 82 respondents of franchise exhibition visitors (prospective franchisees) and 27 franchise exhibitors (franchisors). half of this exhibition was followed by some franchisors and the others exhibitors sold products non-business opportunity. by using t-test and qualitative comparison, will be compared the answer from franchisors and franchisees. the objective of this paper is to see the ways of online marketing channel offer by franchisors are absorbed or not by prospective franchisees or investors. ",franchise;indonesia;marketing channel;online marketing,,Adv Sci Lett,Article,2,165,2,0.5,indonesia,indonesia,business;business opportunities;franchise;indonesia;marketing channels;small medium enterprises;strategy;survey;system;united states,business;franchise;indonesia;small medium enterprises;strategy;survey;system,business;business opportunities;indonesia;marketing channels;united states,1.0,Universitas Bina Nusantara11480 IDN,Universitas Bina Nusantara11480 IDN,franchise;indonesia;market channels;online marketing,,franchise;indonesia;marketing channel;online marketing,franchise;indonesia;market channels;online marketing,business;franchise;indonesia;small medium enterprise;strategy;survey;system,business;business opportunities;indonesia;market channels;united states,business;business opportunities;franchise;indonesia;market channels;small medium enterprise;strategy;survey;system;united states
Pruekruedee S;Suriya K,56453463700;37116134200,Strategic path to enhance the impact of internet broadband on the creative economy in Thailand: An analysis with structural equation model,2015,Studies in Computational Intelligence,1.0,"Economics Department, School of Management, Mae Fah Luang University, Chiang Rai, Thailand; Chiang Mai University, Chiang Mai, Thailand","this paper aims at finding the impact of internet broadband on the creative economy in thailand. it investigates the strength of linkages from the usage behavior of internet broadband to the goals of the production of creative products and the adjustment of organization that facilitates the production, via the applications of the making the digital database and analyzing the data. it uses the structural equation model (sem) to model this multi-layer relationship. the data are collected from field survey of 400 small and medium enterprises (smes). the results reveal that the usage of internet broadband for communication is crucial for the production of creative products. it also discovers that the digital database is important for the modification of organization structure. the digital database is based on the usage of internet broadband in marketing research, searching for contents and collects transactional data of clients. these paths leads to a huge opportunity formobile broadband technology to enhance the creative economy when the functions for communication, searching for contents and marketing research can be done conveniently by mobile devices. ",,,Stud Comput Intell,Article,2,166,2,0.5,thailand,thailand,behavior;communication;digital;internet;marketing;mobile;organization;research;small and medium enterprises;smes;survey,behavior;communication;digital;internet;marketing;mobile;small and medium enterprises;smes;survey,behavior;communication;internet;marketing;organization;research;smes,3.0,Mae Fah Luang University THA;Chiang Mai University THA,Mae Fah Luang University THA,,,,,behavior;communication;digital;internet;market;mobile;small and medium enterprise;sme;survey,behavior;communication;internet;market;organization;research;sme,behavior;communication;digital;internet;market;mobile;organization;research;small and medium enterprise;sme;survey
Prabantoro G;Hariyanto J,57188960102;57188970491,Analysis on utilization of free facility in internet as media of marketing communication for SME (Case study at pik pulogadung),2015,International Journal of Applied Business and Economic Research,0.0,"Department of Management STIE Indonesia Jakarta, Indonesia","this study discusses how small and medium enterprises use of information technology, especially communication is provided free of charge by google for use in its marketing communications activities to achieve local and global markets. the study focused on the use of information communications technology provided free by google that includes google search engine, google mail, google weblog (blogger), google social media (google+), google groups (mailing list). the analysis was conducted to answer the question of how and what considerations smes in using information communication technology, especially the free facilities to be used as a marketing communication media. analyzes were performed using the approach of the technology acceptance model (tam) by analyzing related to: perceived ease to use (x1), perceived usefulness (x2), attitude towards using (x3), and the actual usage (y). the sample data taken from smes in pik pulogadung using convenience sampling technique. validity and reliability is done to ensure that the data meet the eligibility qualifications in testing the hypothesis by using statistical methods confirmatory factor analysis. for the analysis of the existing problems, the testing is done by using path analysis (path analysis). the analysis showed that perceived ease of use has a total influence directly or indirectly to the use of the facilities free of google at 54.3%. and perceived usefulness has a total effect of directly or indirectly, to use the facilities free of google at 40.2%",communication marketing;free facilities;sme;technology of acceptance model,,Int J Appl Bus Econ Res,Article,3,167,2,0.5,indonesia,indonesia,communication;communications;factor analysis;free facilities;google;information;information communication technology;information technology;marketing communication;marketing communications;media;problems;search engine;small and medium enterprises;smes;social media;tam;technology acceptance model;testing,communication;communications;free facilities;google;information;information technology;marketing communication;marketing communications;media;problems;search engine;small and medium enterprises;smes;social media;tam;technology acceptance model,communication;factor analysis;google;information communication technology;information technology;marketing communications;smes;social media;technology acceptance model;testing,2.0,Department of Management Stie Indonesia Jakarta IDN,Department of Management Stie Indonesia Jakarta IDN,communication marketing;free facilities;sme;technology of acceptance model,,communication marketing;free facilities;sme;technology of acceptance model,communication marketing;free facilities;sme;technology of acceptance model,communication;communication;free facilities;google;information;information technology;communication marketing;communication marketing;media;problems;search engine;small and medium enterprise;sme;social media;tam;technology acceptance model,communication;factor analysis;google;information communication technology;information technology;communication marketing;sme;social media;technology acceptance model;testing,communication;communication;factor analysis;free facilities;google;information;information communication technology;information technology;communication marketing;communication marketing;media;problems;search engine;small and medium enterprise;sme;social media;tam;technology acceptance model;testing
Taiminen HM;Karjaluoto H,56764490000;55910157400,The usage of digital marketing channels in SMEs,2015,Journal of Small Business and Enterprise Development,42.0,"School of Business and Economics, University of Jyvaskyla, Jyvaskyla, Finland","purpose - the purpose of this paper is to provide insights into the utilization and goals of digital marketing, and examines factors that influence the adoption and use of digital marketing channels in smes. design/methodology/approach - the data comprises semi-structured theme interviews in smes among 16 managers and 421 survey respondents in central finland. findings - the results of this study reveal that smes seem not use the full potential of the new digital tools, and so are not deriving benefit from the opportunities they provide. furthermore, the results also raise the question of whether smes have understood the fundamental change in the nature of communication brought about by digitization. research limitations/implications - the data comes from one region and thus the research context limits the generalizability of the results. practical implications - smes seem not to be keeping pace with digital developments, mostly due to the lack of knowledge of digital marketing. most of the studied smes do not apply the full potential of the new digital tools and hence are not benefitting fully from them. social implications - discussions on the future regional development of smes have called for training programs to help smes exploit digitization. this is something that the government should take note of. originality/value - whereas the adoption process of new technologies such as it in general and the internet in particular have been examined in the sme literature, this is among the first studies examining adoption and usage of digital tools from the marketing perspective. ",channels;digital marketing;marketing communications;resources;small- and medium-sized organizations;social media;technology adoption;tools,,J Small Bus Enterp Dev,Article,3,168,2,0.5,finland,finland,adoption;communication;digital;digital marketing;digital marketing channels;digital tools;factors;managers;marketing;opportunities;research;sme;smes;survey;the internet;training;utilization,adoption;communication;digital;digital marketing;digital marketing channels;factors;marketing;opportunities;sme;smes;survey;the internet;training,adoption;communication;digital marketing;digital tools;factors;managers;marketing;research;sme;smes;utilization,1.0,University of Jyvaskyla FIN,University of Jyvaskyla FIN,channels;digital marketing;communication marketing;resources;small- and medium-sized organizations;social media;technology adoption;tools,,channels;digital marketing;marketing communications;resources;small- and medium-sized organizations;social media;technology adoption;tools,channels;communication marketing;digital marketing;resources;small- and medium-sized organizations;social media;technology adoption;tools,adoption;communication;digital;digital marketing;digital marketing channels;factorization;market;opportunities;sme;sme;survey;the internet;training,adoption;communication;digital marketing;digital tools;factorization;management;market;research;sme;sme;utilization,adoption;communication;digital;digital marketing;digital marketing channels;digital tools;factorization;management;market;opportunities;research;sme;sme;survey;the internet;training;utilization
Chandel K;Sharma N,56460423600;57209914962,Revisiting marketing strategies for MSMEs in the resilient business environment,2014,Indian Journal of Marketing,1.0,"Department of Commerce, Faculty of Commerce and Management, Himachal Pradesh University, Shimla, Himachal Pradesh, India; Punjab Technical University, Kapurthala, Punjab, India","the growth of medium, small, and micro enterprises has been the most significant feature of a planned economy. it has a unique advantage of providing high rate of employment opportunities with lesser capital investment. the msmes consider the design, development, branding, and positioning of the product as the most critical decision amongst all the strategic decisions to be made while designing marketing strategies. this paper attempted to investigate the influence of marketing strategies in determining the success of an enterprise while exploring market avenues for a small scale firm. the study is based on primary data collected by using a structured questionnaire. various statistical tools like mean, standard deviation, skewness, kurtosis, chi-square, correlation, and factor analysis had been used for data analysis. analysis of various factors influencing the internal and external business environment suggest that market esthetics and its market demand were the most decisive factors which influenced the decision of entrepreneurs. henceforth, it could be summated that while designing the marketing strategies for a firm, the msmes made an assessment of various market factors. however, the industry requires constant upgradation of information regarding the use of newer production technology and market requirements for survival in the market and for facing the global pressures. it is suggested that the entrepreneurs should recognize the use of web portals and e-marketing and also develop cartel and clusters to build the requisite infrastructural and operational facilities to come at par with international standards",market;msmes;product;small scale industries;strategy,,Ind J Mark,Article,2,169,2,0.5,india,india,business environment;design;e-marketing;enterprises;entrepreneurs;factor analysis;factors;industry;information;international;investment;market;marketing strategies;msmes;opportunities;product;small;small scale;tools,business environment;e-marketing;enterprises;entrepreneurs;factors;information;international;investment;market;marketing strategies;msmes;opportunities;product;small;small scale;tools,design;e-marketing;factor analysis;factors;industry;marketing strategies;product;small;small scale,3.0,Himachal Pradesh University IND;Punjab Technical University IND,Himachal Pradesh University IND,market;msmes;product;small scale industries;strategy,,market;msmes;product;small scale industries;strategy,market;msmes;product;small scale industries;strategy,business environment;e-marketing;enterprises;entrepreneur;factorization;information;international;investment;market;marketing strategies;msmes;opportunities;product;small;small scale;tools,design;e-marketing;factor analysis;factorization;industry;marketing strategies;product;small;small scale,business environment;design;e-marketing;enterprises;entrepreneur;factor analysis;factorization;industry;information;international;investment;market;marketing strategies;msmes;opportunities;product;small;small scale;tools
